#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.87926e-05 1.067e-07 1.36284e-05 1.18607e-07 1.01621e-06 1.01773e-06 -0.000266146 0.00020641 
2 5000 2.91801e-05 1.09594e-07 1.36173e-05 1.18698e-07 1.01622e-06 1.01774e-06 -0.000272404 0.000206477 
3 5000 2.87414e-05 1.11028e-07 1.3621e-05 1.18473e-07 1.01615e-06 1.01779e-06 -0.000274049 0.000205966 
4 5000 2.80918e-05 1.09484e-07 1.36562e-05 1.1813e-07 1.01621e-06 1.01767e-06 -0.000269672 0.00020565 
5 5000 2.79899e-05 1.06857e-07 1.37105e-05 1.18006e-07 1.01615e-06 1.01777e-06 -0.000264513 0.000206043 
6 5000 2.85343e-05 1.05859e-07 1.3749e-05 1.18192e-07 1.01613e-06 1.01776e-06 -0.000263958 0.000207008 
7 5000 2.92157e-05 1.07262e-07 1.37251e-05 1.18526e-07 1.01631e-06 1.01767e-06 -0.000268157 0.000207533 
8 5000 2.9506e-05 1.09598e-07 1.36879e-05 1.18229e-07 1.01614e-06 1.01779e-06 -0.000273137 0.000206275 
9 5000 2.93069e-05 1.11078e-07 1.37691e-05 1.17279e-07 1.01628e-06 1.01776e-06 -0.000275385 0.00020506 
10 5000 2.88918e-05 1.1098e-07 1.39086e-05 1.17677e-07 1.01636e-06 1.01761e-06 -0.000274273 0.000207904 
11 5000 2.85773e-05 1.09879e-07 1.37915e-05 1.19078e-07 1.01607e-06 1.01793e-06 -0.000271574 0.000209635 
12 5000 2.85211e-05 1.08872e-07 1.36909e-05 1.17464e-07 1.01638e-06 1.01741e-06 -0.000269541 0.00020459 
13 5000 2.86127e-05 1.082e-07 1.40047e-05 1.16373e-07 1.01615e-06 1.01784e-06 -0.000268537 0.000205907 
14 5000 2.87279e-05 1.07999e-07 1.39472e-05 1.19144e-07 1.0162e-06 1.01777e-06 -0.000268427 0.000211838 
15 5000 2.88544e-05 1.08092e-07 1.36964e-05 1.17524e-07 1.01666e-06 1.01734e-06 -0.000268834 0.000204838 
16 5000 2.89579e-05 1.08144e-07 1.41079e-05 1.16113e-07 1.01618e-06 1.01821e-06 -0.00026923 0.00020646 
17 5000 2.9087e-05 1.08429e-07 1.39274e-05 1.19037e-07 1.01676e-06 1.01737e-06 -0.000269977 0.00021147 
18 5000 2.91865e-05 1.09004e-07 1.38672e-05 1.16474e-07 1.01636e-06 1.01767e-06 -0.000271314 0.000204424 
19 5000 2.92454e-05 1.09699e-07 1.41155e-05 1.17426e-07 1.01612e-06 1.01807e-06 -0.000272753 0.000209756 
20 5000 2.92194e-05 1.10354e-07 1.39305e-05 1.17334e-07 1.01679e-06 1.01709e-06 -0.000273809 0.000207546 
21 5000 2.90947e-05 1.10553e-07 1.40951e-05 1.17364e-07 1.01586e-06 1.01846e-06 -0.000274013 0.000209223 
