#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.87174e-05 1.06491e-07 1.35802e-05 1.1817e-07 1.01621e-06 1.01773e-06 -0.000265576 0.000204693 
2 5000 2.91043e-05 1.09104e-07 1.362e-05 1.17576e-07 1.01622e-06 1.01775e-06 -0.000271332 0.000203778 
3 5000 2.87304e-05 1.1051e-07 1.37037e-05 1.17428e-07 1.01615e-06 1.01778e-06 -0.000273075 0.00020454 
4 5000 2.81342e-05 1.0918e-07 1.37231e-05 1.17852e-07 1.01621e-06 1.01768e-06 -0.00026921 0.000205871 
5 5000 2.80255e-05 1.06768e-07 1.36858e-05 1.17945e-07 1.01616e-06 1.01778e-06 -0.000264432 0.000205561 
6 5000 2.85192e-05 1.05794e-07 1.37134e-05 1.17384e-07 1.01613e-06 1.01776e-06 -0.000263798 0.000204573 
7 5000 2.9157e-05 1.07046e-07 1.37833e-05 1.17343e-07 1.01631e-06 1.01768e-06 -0.000267621 0.000205434 
8 5000 2.94402e-05 1.09206e-07 1.37674e-05 1.17776e-07 1.01614e-06 1.01781e-06 -0.000272275 0.000206229 
9 5000 2.92652e-05 1.10616e-07 1.3752e-05 1.17215e-07 1.01625e-06 1.01777e-06 -0.000274457 0.000204673 
10 5000 2.88818e-05 1.10571e-07 1.3879e-05 1.16837e-07 1.01634e-06 1.0176e-06 -0.000273508 0.000205493 
11 5000 2.85809e-05 1.0956e-07 1.3858e-05 1.18028e-07 1.01603e-06 1.01798e-06 -0.000271 0.000207963 
12 5000 2.85142e-05 1.08594e-07 1.37369e-05 1.17209e-07 1.01633e-06 1.01746e-06 -0.000269015 0.000204566 
13 5000 2.85904e-05 1.07903e-07 1.39771e-05 1.15932e-07 1.01613e-06 1.01784e-06 -0.000267934 0.000204477 
14 5000 2.86993e-05 1.07629e-07 1.39796e-05 1.18202e-07 1.01612e-06 1.01785e-06 -0.00026768 0.000209984 
15 5000 2.88339e-05 1.0767e-07 1.37307e-05 1.17073e-07 1.01662e-06 1.01736e-06 -0.000268005 0.000204188 
16 5000 2.89537e-05 1.07738e-07 1.41093e-05 1.1545e-07 1.01613e-06 1.01815e-06 -0.000268472 0.000204885 
17 5000 2.90932e-05 1.08065e-07 1.39704e-05 1.18399e-07 1.01665e-06 1.01739e-06 -0.00026933 0.000210495 
18 5000 2.91833e-05 1.0869e-07 1.38566e-05 1.16032e-07 1.01637e-06 1.01759e-06 -0.000270727 0.000203231 
19 5000 2.92151e-05 1.09383e-07 1.41493e-05 1.1655e-07 1.01603e-06 1.01815e-06 -0.000272117 0.000208052 
20 5000 2.91612e-05 1.09961e-07 1.39549e-05 1.16898e-07 1.01674e-06 1.01706e-06 -0.000272967 0.000206814 
21 5000 2.90154e-05 1.1006e-07 1.4109e-05 1.16689e-07 1.01584e-06 1.01845e-06 -0.000272937 0.000207778 
22 5000 2.8913e-05 1.09814e-07 1.40065e-05 1.16457e-07 1.01664e-06 1.01754e-06 -0.000272152 0.000206239 
23 5000 2.88496e-05 1.09054e-07 1.41986e-05 1.1639e-07 1.01663e-06 1.01794e-06 -0.000270609 0.000208355 
24 5000 2.88004e-05 1.07885e-07 1.40476e-05 1.16541e-07 1.0164e-06 1.01789e-06 -0.000268357 0.000206844 
25 5000 2.87602e-05 1.06935e-07 1.42425e-05 1.15956e-07 1.01679e-06 1.0177e-06 -0.000266435 0.00020793 
26 5000 2.86748e-05 1.06329e-07 1.41148e-05 1.17087e-07 1.01571e-06 1.01818e-06 -0.000265236 0.000208902 
27 5000 2.8693e-05 1.07024e-07 1.41505e-05 1.15013e-07 1.01631e-06 1.01718e-06 -0.000266508 0.000204682 
28 5000 2.89649e-05 1.0834e-07 1.44325e-05 1.16426e-07 1.01591e-06 1.01816e-06 -0.000269645 0.000211185 
29 5000 2.94356e-05 1.09709e-07 1.40051e-05 1.17016e-07 1.01734e-06 1.01718e-06 -0.000273035 0.0002077 
30 5000 2.97967e-05 1.09947e-07 1.43644e-05 1.14519e-07 1.01695e-06 1.01788e-06 -0.000274297 0.000205891 
31 5000 2.98818e-05 1.09756e-07 1.43255e-05 1.16368e-07 1.01695e-06 1.01783e-06 -0.000274128 0.000209882 
32 5000 2.99446e-05 1.09859e-07 1.42454e-05 1.16767e-07 1.0182e-06 1.01742e-06 -0.000274295 0.000210005 
33 5000 2.98091e-05 1.09123e-07 1.41379e-05 1.15356e-07 1.0166e-06 1.01841e-06 -0.000272861 0.000204929 
34 5000 2.95945e-05 1.08589e-07 1.4537e-05 1.14795e-07 1.01796e-06 1.01672e-06 -0.000271246 0.000209011 
35 5000 2.93237e-05 1.08445e-07 1.41325e-05 1.18577e-07 1.0166e-06 1.01807e-06 -0.000270557 0.000212691 
36 5000 2.9408e-05 1.08999e-07 1.41486e-05 1.133e-07 1.01715e-06 1.01755e-06 -0.000271695 0.000200296 
37 5000 2.96581e-05 1.09031e-07 1.4671e-05 1.16931e-07 1.01751e-06 1.01716e-06 -0.000272255 0.00021543 
38 5000 2.97676e-05 1.08677e-07 1.38182e-05 1.17577e-07 1.01731e-06 1.01733e-06 -0.000271865 0.000206587 
39 5000 2.99254e-05 1.0939e-07 1.45507e-05 1.12512e-07 1.01686e-06 1.01757e-06 -0.000273565 0.000203347 
40 5000 3.02371e-05 1.10279e-07 1.4325e-05 1.19593e-07 1.01688e-06 1.01701e-06 -0.000275828 0.000217693 
41 5000 3.05377e-05 1.11441e-07 1.38998e-05 1.14283e-07 1.01686e-06 1.01737e-06 -0.000278534 0.000199546 
42 5000 3.07059e-05 1.11565e-07 1.47095e-05 1.15614e-07 1.01672e-06 1.01756e-06 -0.000279106 0.000212655 
43 5000 3.05219e-05 1.11665e-07 1.39269e-05 1.17964e-07 1.0165e-06 1.0173e-06 -0.000278946 0.000208938 
44 5000 3.04888e-05 1.12159e-07 1.44309e-05 1.13872e-07 1.01683e-06 1.01774e-06 -0.000279726 0.000205173 
45 5000 3.03825e-05 1.1162e-07 1.4209e-05 1.18053e-07 1.01736e-06 1.01762e-06 -0.000278485 0.000212539 
46 5000 3.01212e-05 1.10471e-07 1.4259e-05 1.14218e-07 1.01682e-06 1.01828e-06 -0.000275946 0.000203713 
47 5000 2.98627e-05 1.09755e-07 1.43307e-05 1.17498e-07 1.01806e-06 1.01711e-06 -0.000273949 0.000212862 
48 5000 2.97747e-05 1.09384e-07 1.42115e-05 1.15087e-07 1.017e-06 1.0185e-06 -0.000273215 0.000205168 
49 5000 2.9919e-05 1.09032e-07 1.42947e-05 1.16669e-07 1.01719e-06 1.01794e-06 -0.000272854 0.00021019 
