#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.88047e-05 1.08147e-07 1.37842e-05 1.1952e-07 1.01621e-06 1.01773e-06 -0.000268879 0.00021066 
2 5000 2.8836e-05 1.11133e-07 1.36726e-05 1.21538e-07 1.01622e-06 1.01774e-06 -0.000274446 0.000213963 
3 5000 2.81435e-05 1.113e-07 1.34547e-05 1.21399e-07 1.01615e-06 1.01779e-06 -0.00027315 0.000210732 
4 5000 2.7629e-05 1.08733e-07 1.34943e-05 1.19051e-07 1.01622e-06 1.01767e-06 -0.000267125 0.000205679 
5 5000 2.78662e-05 1.0642e-07 1.37855e-05 1.18089e-07 1.01616e-06 1.01777e-06 -0.000263372 0.00020724 
6 5000 2.85863e-05 1.06607e-07 1.38882e-05 1.20127e-07 1.01615e-06 1.01775e-06 -0.000265492 0.000213412 
7 5000 2.9131e-05 1.0885e-07 1.36356e-05 1.21694e-07 1.01636e-06 1.01764e-06 -0.000270905 0.000213882 
8 5000 2.91365e-05 1.11008e-07 1.35103e-05 1.19684e-07 1.01622e-06 1.01777e-06 -0.000274891 0.000207394 
9 5000 2.87593e-05 1.11604e-07 1.38135e-05 1.17499e-07 1.01637e-06 1.01776e-06 -0.000275109 0.000206185 
10 5000 2.83791e-05 1.10711e-07 1.40266e-05 1.19552e-07 1.01645e-06 1.01758e-06 -0.000272589 0.000213849 
11 5000 2.82391e-05 1.09468e-07 1.37051e-05 1.21856e-07 1.01617e-06 1.01786e-06 -0.000270002 0.000215083 
12 5000 2.83471e-05 1.08899e-07 1.35782e-05 1.18689e-07 1.01648e-06 1.01741e-06 -0.000269164 0.000206044 
13 5000 2.84928e-05 1.08786e-07 1.4057e-05 1.17247e-07 1.01626e-06 1.01785e-06 -0.000269331 0.000208677 
14 5000 2.85503e-05 1.08893e-07 1.39822e-05 1.21243e-07 1.01633e-06 1.01772e-06 -0.000269656 0.000217178 
15 5000 2.85789e-05 1.08966e-07 1.36266e-05 1.19554e-07 1.01673e-06 1.01742e-06 -0.000269804 0.000208782 
16 5000 2.8615e-05 1.08798e-07 1.40726e-05 1.17439e-07 1.01625e-06 1.01837e-06 -0.00026964 0.000209151 
17 5000 2.87248e-05 1.08858e-07 1.39496e-05 1.20529e-07 1.01682e-06 1.01751e-06 -0.000269934 0.000215195 
18 5000 2.88416e-05 1.09317e-07 1.38657e-05 1.18295e-07 1.0164e-06 1.01783e-06 -0.000271105 0.000208759 
19 5000 2.89261e-05 1.10006e-07 1.4082e-05 1.1924e-07 1.01619e-06 1.01822e-06 -0.000272593 0.00021358 
20 5000 2.89189e-05 1.1072e-07 1.39086e-05 1.18825e-07 1.01683e-06 1.01721e-06 -0.0002738 0.000210788 
21 5000 2.8804e-05 1.10952e-07 1.41102e-05 1.18937e-07 1.01593e-06 1.01856e-06 -0.00027408 0.000213099 
22 5000 2.87074e-05 1.10856e-07 1.39766e-05 1.18851e-07 1.01681e-06 1.01761e-06 -0.000273571 0.000211566 
23 5000 2.86186e-05 1.10156e-07 1.41495e-05 1.18811e-07 1.01656e-06 1.01823e-06 -0.000272116 0.000213394 
24 5000 2.85289e-05 1.09098e-07 1.40323e-05 1.18633e-07 1.01646e-06 1.01809e-06 -0.000269967 0.000211582 
25 5000 2.84452e-05 1.08267e-07 1.42224e-05 1.1837e-07 1.0168e-06 1.01789e-06 -0.00026818 0.000213353 
26 5000 2.83316e-05 1.0784e-07 1.40851e-05 1.19474e-07 1.01578e-06 1.01848e-06 -0.000267247 0.000214075 
27 5000 2.83765e-05 1.08725e-07 1.41248e-05 1.17189e-07 1.01646e-06 1.01753e-06 -0.000268914 0.000209494 
28 5000 2.86759e-05 1.09991e-07 1.44232e-05 1.19059e-07 1.01611e-06 1.01853e-06 -0.000272003 0.0002171 
29 5000 2.91586e-05 1.11158e-07 1.39607e-05 1.19171e-07 1.01753e-06 1.01735e-06 -0.000275045 0.000212212 
30 5000 2.94806e-05 1.11076e-07 1.437e-05 1.16855e-07 1.01698e-06 1.01823e-06 -0.000275669 0.000211435 
31 5000 2.95743e-05 1.10827e-07 1.43145e-05 1.1885e-07 1.01731e-06 1.01796e-06 -0.000275378 0.000215544 
32 5000 2.96402e-05 1.10747e-07 1.41726e-05 1.1922e-07 1.01814e-06 1.0179e-06 -0.00027527 0.000214739 
33 5000 2.95006e-05 1.09949e-07 1.41803e-05 1.1716e-07 1.01665e-06 1.01868e-06 -0.000273703 0.000209715 
34 5000 2.92705e-05 1.09557e-07 1.45077e-05 1.17949e-07 1.01798e-06 1.01692e-06 -0.000272312 0.000216027 
35 5000 2.90465e-05 1.09776e-07 1.40327e-05 1.20626e-07 1.01645e-06 1.01857e-06 -0.000272408 0.000216084 
36 5000 2.92373e-05 1.10574e-07 1.42681e-05 1.14962e-07 1.01742e-06 1.01758e-06 -0.00027417 0.000205888 
37 5000 2.94869e-05 1.10393e-07 1.45384e-05 1.20951e-07 1.01751e-06 1.01755e-06 -0.000274375 0.000223009 
38 5000 2.95707e-05 1.10001e-07 1.37934e-05 1.18169e-07 1.01734e-06 1.0176e-06 -0.000273864 0.000207598 
39 5000 2.97436e-05 1.10528e-07 1.46643e-05 1.15879e-07 1.01707e-06 1.01763e-06 -0.000275226 0.000212744 
40 5000 3.00266e-05 1.11134e-07 1.41122e-05 1.22197e-07 1.01688e-06 1.01766e-06 -0.00027694 0.000220933 
41 5000 3.03514e-05 1.11981e-07 1.40239e-05 1.15403e-07 1.01694e-06 1.01758e-06 -0.000279119 0.000203877 
42 5000 3.04215e-05 1.11576e-07 1.46469e-05 1.19281e-07 1.01668e-06 1.01751e-06 -0.000278564 0.000220443 
