#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.90706e-05 1.01657e-07 1.15842e-05 1.11861e-07 1.01621e-06 1.01773e-06 -0.000257166 0.000149828 
2 4958 3.11306e-05 1.06605e-07 1.39157e-05 9.04739e-08 1.02006e-06 1.05584e-06 -0.000270518 0.000101802 
3 4958 3.12907e-05 1.13032e-07 1.73991e-05 8.62072e-08 1.01997e-06 1.05551e-06 -0.000282462 0.000148914 
4 4958 2.97268e-05 1.13683e-07 1.70955e-05 1.1121e-07 1.02e-06 1.05502e-06 -0.000280508 0.000214713 
5 4958 2.83603e-05 1.08212e-07 1.32339e-05 1.27947e-07 1.0199e-06 1.05503e-06 -0.000267458 0.000209375 
6 4958 2.86918e-05 1.02995e-07 1.20516e-05 1.08187e-07 1.01987e-06 1.05551e-06 -0.000258348 0.000125472 
7 4958 3.03353e-05 1.03239e-07 1.57294e-05 8.5137e-08 1.01995e-06 1.05606e-06 -0.000262575 0.000119307 
8 4958 3.17062e-05 1.0817e-07 1.78431e-05 1.00501e-07 1.01973e-06 1.05721e-06 -0.000274542 0.000194578 
9 4958 3.16965e-05 1.1325e-07 1.45401e-05 1.25999e-07 1.01991e-06 1.05818e-06 -0.000283605 0.000221331 
10 4958 3.05853e-05 1.14877e-07 1.23198e-05 1.13576e-07 1.02007e-06 1.06095e-06 -0.000284352 0.000149028 
11 4958 2.94117e-05 1.12565e-07 1.52468e-05 9.16183e-08 1.02004e-06 1.06696e-06 -0.000277829 0.000130204 
12 4958 2.88973e-05 1.08601e-07 1.69586e-05 1.02837e-07 1.02049e-06 1.06974e-06 -0.000269376 0.000188037 
13 4958 2.91039e-05 1.05802e-07 1.47455e-05 1.18195e-07 1.02051e-06 1.07143e-06 -0.000264611 0.000200858 
14 4958 2.97283e-05 1.05478e-07 1.38458e-05 1.09996e-07 1.02075e-06 1.07472e-06 -0.000265386 0.000163017 
15 4958 3.03592e-05 1.06706e-07 1.51302e-05 1.02097e-07 1.0213e-06 1.07784e-06 -0.000268978 0.000159104 
16 4958 3.06543e-05 1.08116e-07 1.56919e-05 1.05959e-07 1.02124e-06 1.07847e-06 -0.000272201 0.000178434 
17 4958 3.06814e-05 1.09354e-07 1.50801e-05 1.11069e-07 1.02174e-06 1.0776e-06 -0.00027446 0.00018457 
18 4958 3.05475e-05 1.10193e-07 1.47148e-05 1.08917e-07 1.02159e-06 1.0781e-06 -0.000275732 0.000172998 
19 4958 3.03772e-05 1.10647e-07 1.52331e-05 1.06553e-07 1.02134e-06 1.0789e-06 -0.000276239 0.000173603 
20 4958 3.01645e-05 1.1063e-07 1.51939e-05 1.08915e-07 1.02169e-06 1.07841e-06 -0.000275727 0.000179924 
21 4958 2.99035e-05 1.10278e-07 1.50482e-05 1.09086e-07 1.021e-06 1.07949e-06 -0.000274622 0.000177898 
22 4958 2.97876e-05 1.09727e-07 1.51065e-05 1.0716e-07 1.02167e-06 1.07837e-06 -0.000273287 0.000173726 
23 4958 2.98109e-05 1.08731e-07 1.56267e-05 1.07376e-07 1.02187e-06 1.07785e-06 -0.000271484 0.000181744 
24 4958 2.99678e-05 1.07486e-07 1.49526e-05 1.12628e-07 1.02173e-06 1.07842e-06 -0.000269537 0.000186678 
25 4958 3.02461e-05 1.06605e-07 1.49541e-05 1.06644e-07 1.02217e-06 1.07858e-06 -0.000268441 0.000169854 
26 4958 3.04892e-05 1.05882e-07 1.55981e-05 1.07156e-07 1.02128e-06 1.07879e-06 -0.000267718 0.000180405 
27 4958 3.05897e-05 1.06e-07 1.53489e-05 1.09203e-07 1.02131e-06 1.07786e-06 -0.000268144 0.000183062 
28 4958 3.06777e-05 1.07214e-07 1.52711e-05 1.10354e-07 1.02106e-06 1.07902e-06 -0.000270608 0.000184697 
29 4958 3.08939e-05 1.0916e-07 1.50196e-05 1.08976e-07 1.02201e-06 1.07851e-06 -0.000274501 0.00017757 
30 4958 3.11776e-05 1.1067e-07 1.55919e-05 1.07049e-07 1.0218e-06 1.07939e-06 -0.000277817 0.000179792 
31 4958 3.12995e-05 1.10892e-07 1.5316e-05 1.1039e-07 1.02205e-06 1.07849e-06 -0.00027842 0.0001856 
32 4958 3.11918e-05 1.10658e-07 1.54684e-05 1.07551e-07 1.02292e-06 1.0773e-06 -0.00027769 0.00018034 
33 4958 3.09246e-05 1.09826e-07 1.51889e-05 1.11814e-07 1.02132e-06 1.0795e-06 -0.000275855 0.000187329 
34 4958 3.08041e-05 1.0954e-07 1.52681e-05 1.06682e-07 1.02267e-06 1.0782e-06 -0.000274933 0.000174762 
35 4958 3.07089e-05 1.08864e-07 1.55134e-05 1.08816e-07 1.02211e-06 1.07847e-06 -0.000273577 0.000183963 
36 4958 3.07524e-05 1.08579e-07 1.55433e-05 1.09544e-07 1.02194e-06 1.07882e-06 -0.000273164 0.000186188 
37 4958 3.09259e-05 1.08751e-07 1.48417e-05 1.10408e-07 1.02212e-06 1.07806e-06 -0.000273806 0.000179166 
38 4958 3.12065e-05 1.09043e-07 1.58634e-05 1.05425e-07 1.02207e-06 1.07803e-06 -0.000274897 0.000179347 
39 4958 3.12646e-05 1.09424e-07 1.51243e-05 1.13169e-07 1.02167e-06 1.0783e-06 -0.000275749 0.000190501 
40 4958 3.13296e-05 1.10751e-07 1.51795e-05 1.06514e-07 1.02169e-06 1.07868e-06 -0.000278268 0.000172806 
41 4958 3.14174e-05 1.12232e-07 1.57465e-05 1.08463e-07 1.02218e-06 1.07785e-06 -0.000281024 0.000186236 
42 4958 3.136e-05 1.12922e-07 1.51307e-05 1.11602e-07 1.02127e-06 1.07891e-06 -0.000282247 0.000186196 
