#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.8909e-05 1.07775e-07 1.36294e-05 1.1778e-07 1.01621e-06 1.01773e-06 -0.000268427 0.000204413 
2 5000 2.92929e-05 1.10168e-07 1.38244e-05 1.16398e-07 1.01631e-06 1.01781e-06 -0.000273692 0.000203624 
3 5000 2.93269e-05 1.11357e-07 1.40514e-05 1.16919e-07 1.016e-06 1.0181e-06 -0.000275968 0.00020773 
4 5000 2.94131e-05 1.11635e-07 1.40267e-05 1.16758e-07 1.01642e-06 1.01787e-06 -0.000276607 0.000207108 
5 5000 2.97187e-05 1.1156e-07 1.43144e-05 1.16303e-07 1.01701e-06 1.01787e-06 -0.00027705 0.000209584 
6 5000 3.00574e-05 1.11013e-07 1.42344e-05 1.15563e-07 1.01617e-06 1.018e-06 -0.000276874 0.000206783 
7 5000 3.03232e-05 1.11053e-07 1.45709e-05 1.16993e-07 1.01709e-06 1.0174e-06 -0.000277377 0.000214368 
8 5000 3.10344e-05 1.1273e-07 1.46853e-05 1.14491e-07 1.01638e-06 1.0183e-06 -0.000281857 0.000209477 
9 5000 3.16501e-05 1.11383e-07 1.48084e-05 1.14968e-07 1.01603e-06 1.01887e-06 -0.000280654 0.000211815 
10 5000 3.17409e-05 1.10136e-07 1.48463e-05 1.14404e-07 1.01779e-06 1.017e-06 -0.000278388 0.000211511 
11 5000 3.07503e-05 1.09888e-07 1.49841e-05 1.15878e-07 1.01483e-06 1.0196e-06 -0.000276399 0.000215634 
12 5000 3.26373e-05 1.13325e-07 1.53802e-05 1.14542e-07 1.01937e-06 1.01629e-06 -0.000285458 0.000217688 
13 5000 3.22382e-05 1.12267e-07 1.52182e-05 1.14834e-07 1.01434e-06 1.02139e-06 -0.000283465 0.000215131 
14 5000 3.25803e-05 1.12238e-07 1.55654e-05 1.12836e-07 1.01988e-06 1.01547e-06 -0.000283393 0.000215842 
15 5000 3.32265e-05 1.14131e-07 1.51823e-05 1.12887e-07 1.01715e-06 1.0189e-06 -0.000288085 0.000210969 
16 5000 3.32891e-05 1.13937e-07 1.54207e-05 1.17755e-07 1.01739e-06 1.01989e-06 -0.000287824 0.000224282 
17 5000 3.48943e-05 1.14036e-07 1.60598e-05 1.14757e-07 1.0192e-06 1.01944e-06 -0.000290287 0.00022371 
18 5000 3.40221e-05 1.13979e-07 1.61974e-05 1.12548e-07 1.01933e-06 1.02103e-06 -0.000288859 0.00021951 
19 5000 3.43756e-05 1.14464e-07 1.61004e-05 1.13185e-07 1.0178e-06 1.02152e-06 -0.000290395 0.000219939 
20 5000 3.5662e-05 1.18236e-07 1.62449e-05 1.11393e-07 1.02043e-06 1.02453e-06 -0.000298392 0.000216283 
21 5000 3.6783e-05 1.21308e-07 1.64381e-05 1.1259e-07 1.02106e-06 1.02053e-06 -0.0003049 0.000221883 
22 5000 3.64081e-05 1.18971e-07 1.65896e-05 1.10611e-07 1.02265e-06 1.02396e-06 -0.000300411 0.000217737 
23 5000 3.71646e-05 1.20385e-07 1.65583e-05 1.09782e-07 1.02584e-06 1.02103e-06 -0.000303429 0.000216385 
24 5000 3.75125e-05 1.20131e-07 1.70814e-05 1.11718e-07 1.02277e-06 1.03084e-06 -0.00030372 0.000222503 
25 5000 3.72478e-05 1.21107e-07 1.74103e-05 1.11776e-07 1.024e-06 1.02984e-06 -0.000304886 0.000225522 
26 5000 3.83872e-05 1.23964e-07 1.75988e-05 1.11336e-07 1.0231e-06 1.03364e-06 -0.00031096 0.000225004 
27 5000 3.83969e-05 1.23781e-07 1.77596e-05 1.12682e-07 1.03069e-06 1.02815e-06 -0.000310023 0.000230563 
28 5000 4.05782e-05 1.29429e-07 1.78653e-05 1.12154e-07 1.0367e-06 1.02547e-06 -0.000320848 0.00023085 
