#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.88265e-05 1.06829e-07 1.37979e-05 1.16162e-07 1.01621e-06 1.01773e-06 -0.000266469 0.000202716 
2 5000 2.93151e-05 1.07787e-07 1.42785e-05 1.15505e-07 1.01639e-06 1.01781e-06 -0.000269346 0.000207251 
3 5000 2.94857e-05 1.079e-07 1.42506e-05 1.18149e-07 1.01593e-06 1.01802e-06 -0.000269993 0.000213131 
4 5000 2.94053e-05 1.07983e-07 1.4553e-05 1.1423e-07 1.01611e-06 1.01818e-06 -0.000269947 0.000207351 
5 5000 2.95559e-05 1.10544e-07 1.46049e-05 1.16158e-07 1.01724e-06 1.01708e-06 -0.000274832 0.000212905 
6 5000 3.08805e-05 1.1328e-07 1.49885e-05 1.16903e-07 1.01761e-06 1.01926e-06 -0.000282395 0.000218151 
7 5000 3.13252e-05 1.13661e-07 1.51592e-05 1.15386e-07 1.01948e-06 1.01751e-06 -0.000283693 0.000217 
8 5000 3.22962e-05 1.15844e-07 1.53315e-05 1.15828e-07 1.01754e-06 1.01903e-06 -0.000289456 0.000219309 
9 5000 3.37346e-05 1.13125e-07 1.56888e-05 1.15181e-07 1.01962e-06 1.0189e-06 -0.000286892 0.00022138 
10 5000 3.31958e-05 1.13937e-07 1.60196e-05 1.12655e-07 1.01843e-06 1.02068e-06 -0.000287563 0.000218225 
11 5000 3.51204e-05 1.17678e-07 1.59259e-05 1.14407e-07 1.02061e-06 1.02139e-06 -0.00029668 0.000221136 
12 5000 3.4661e-05 1.16598e-07 1.66475e-05 1.15376e-07 1.01907e-06 1.0222e-06 -0.00029434 0.000229369 
13 5000 3.53743e-05 1.17591e-07 1.69723e-05 1.13828e-07 1.02073e-06 1.02113e-06 -0.00029688 0.000228893 
14 5000 3.70342e-05 1.19589e-07 1.70363e-05 1.13614e-07 1.02436e-06 1.02264e-06 -0.000302085 0.000228536 
15 5000 3.79237e-05 1.20319e-07 1.70899e-05 1.08775e-07 1.03016e-06 1.01986e-06 -0.000303868 0.00021889 
16 5000 3.82424e-05 1.22784e-07 1.78704e-05 1.11667e-07 1.0255e-06 1.02889e-06 -0.000308681 0.000228974 
17 5000 4.04365e-05 1.25001e-07 1.76249e-05 1.14325e-07 1.02555e-06 1.02792e-06 -0.000314628 0.000233184 
18 5000 3.95454e-05 1.28102e-07 1.83649e-05 1.11442e-07 1.03298e-06 1.02863e-06 -0.000317992 0.000232009 
19 5000 4.24582e-05 1.30535e-07 1.89213e-05 1.0992e-07 1.03165e-06 1.03455e-06 -0.000324758 0.000230986 
20 5000 4.27288e-05 1.29039e-07 1.88687e-05 1.0968e-07 1.0513e-06 1.02198e-06 -0.000321205 0.000233082 
21 5000 4.41856e-05 1.32997e-07 1.94849e-05 1.10682e-07 1.03805e-06 1.03573e-06 -0.000329561 0.000235854 
22 5000 4.60641e-05 1.3794e-07 2.01375e-05 1.09286e-07 1.05444e-06 1.0316e-06 -0.000337348 0.000237571 
23 5000 4.77547e-05 1.39644e-07 2.05686e-05 1.11397e-07 1.05228e-06 1.04721e-06 -0.000341257 0.000240998 
24 5000 4.89359e-05 1.45506e-07 2.07593e-05 1.13388e-07 1.07563e-06 1.0348e-06 -0.000349088 0.000248609 
25 5000 4.92287e-05 1.41179e-07 2.13249e-05 1.10881e-07 1.06719e-06 1.04508e-06 -0.000343576 0.000244262 
26 5000 5.34985e-05 1.52747e-07 2.14204e-05 1.12565e-07 1.09092e-06 1.03361e-06 -0.00036125 0.00025038 
27 5000 5.4382e-05 1.56306e-07 2.2189e-05 1.1371e-07 1.10137e-06 1.03988e-06 -0.00036606 0.000254905 
28 5000 5.4518e-05 1.53269e-07 2.23938e-05 1.13989e-07 1.09187e-06 1.05831e-06 -0.000362493 0.000252932 
29 5000 5.81353e-05 1.63362e-07 2.28978e-05 1.09947e-07 1.11123e-06 1.05111e-06 -0.000376989 0.000248389 
30 5000 5.81657e-05 1.60745e-07 2.32858e-05 1.11964e-07 1.1316e-06 1.05265e-06 -0.000372465 0.00025373 
31 5000 6.21549e-05 1.72505e-07 2.40975e-05 1.1485e-07 1.14545e-06 1.05653e-06 -0.000389096 0.000261778 
32 5000 6.18388e-05 1.68842e-07 2.38222e-05 1.12586e-07 1.14915e-06 1.05531e-06 -0.000384041 0.000256586 
33 5000 6.21027e-05 1.72207e-07 2.32573e-05 1.12599e-07 1.14372e-06 1.06383e-06 -0.000388772 0.000252859 
34 5000 6.24768e-05 1.73691e-07 2.39182e-05 1.14653e-07 1.15538e-06 1.05846e-06 -0.000390288 0.000260408 
35 5000 6.18242e-05 1.7146e-07 2.38939e-05 1.16847e-07 1.14016e-06 1.06781e-06 -0.000387857 0.000262921 
36 5000 6.183e-05 1.66771e-07 2.38179e-05 1.16938e-07 1.13914e-06 1.07139e-06 -0.000381816 0.000262191 
37 5000 6.2681e-05 1.72278e-07 2.39507e-05 1.14453e-07 1.14393e-06 1.06345e-06 -0.000389103 0.000259295 
38 5000 6.09897e-05 1.70278e-07 2.45045e-05 1.14134e-07 1.15093e-06 1.06719e-06 -0.000385434 0.000260111 
39 5000 6.15386e-05 1.68836e-07 2.38308e-05 1.16946e-07 1.14151e-06 1.06972e-06 -0.000384268 0.000262541 
40 5000 6.08709e-05 1.67451e-07 2.35106e-05 1.148e-07 1.15724e-06 1.06242e-06 -0.00038138 0.000258438 
41 5000 6.29941e-05 1.7488e-07 2.40699e-05 1.15551e-07 1.15853e-06 1.06629e-06 -0.000391884 0.00026137 
42 5000 6.20465e-05 1.71146e-07 2.3457e-05 1.132e-07 1.16402e-06 1.05403e-06 -0.000386405 0.000256588 
43 5000 6.08356e-05 1.6997e-07 2.36066e-05 1.12354e-07 1.14152e-06 1.05762e-06 -0.000385423 0.000254894 
44 5000 6.23428e-05 1.71012e-07 2.3984e-05 1.13326e-07 1.15561e-06 1.06698e-06 -0.00038677 0.00025663 
45 5000 6.04396e-05 1.68096e-07 2.41701e-05 1.16655e-07 1.14202e-06 1.07465e-06 -0.000382776 0.000262438 
46 5000 6.08215e-05 1.67657e-07 2.45048e-05 1.16462e-07 1.13548e-06 1.06834e-06 -0.000382699 0.000264358 
47 5000 6.03542e-05 1.66494e-07 2.37563e-05 1.14817e-07 1.14211e-06 1.06297e-06 -0.000380633 0.000259336 
48 5000 6.20735e-05 1.72267e-07 2.34309e-05 1.13109e-07 1.15249e-06 1.05523e-06 -0.00038842 0.000256098 
49 5000 6.27941e-05 1.74097e-07 2.3304e-05 1.11603e-07 1.15636e-06 1.05383e-06 -0.0003909 0.000252878 
