#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.85894e-05 1.06714e-07 1.35964e-05 1.18109e-07 1.01621e-06 1.01773e-06 -0.000265693 0.000204765 
2 5000 2.89586e-05 1.07146e-07 1.38636e-05 1.1544e-07 1.01641e-06 1.01791e-06 -0.000267342 0.000201745 
3 5000 2.91579e-05 1.07059e-07 1.4291e-05 1.15953e-07 1.016e-06 1.01821e-06 -0.000267687 0.000208342 
4 5000 2.91497e-05 1.07034e-07 1.44163e-05 1.15332e-07 1.01611e-06 1.01836e-06 -0.000267608 0.000208314 
5 5000 2.93154e-05 1.0937e-07 1.44592e-05 1.15496e-07 1.0174e-06 1.01729e-06 -0.000272141 0.000209581 
6 5000 3.06348e-05 1.12368e-07 1.49943e-05 1.16283e-07 1.01802e-06 1.01922e-06 -0.000280246 0.0002168 
7 5000 3.10994e-05 1.12333e-07 1.50566e-05 1.15049e-07 1.01929e-06 1.01801e-06 -0.000280937 0.000214985 
8 5000 3.18948e-05 1.14509e-07 1.52791e-05 1.1537e-07 1.01816e-06 1.01856e-06 -0.000286368 0.000217872 
9 5000 3.36968e-05 1.1297e-07 1.56348e-05 1.145e-07 1.01954e-06 1.01869e-06 -0.000286571 0.000219378 
10 5000 3.30781e-05 1.12895e-07 1.58301e-05 1.1198e-07 1.02039e-06 1.01968e-06 -0.000285339 0.00021517 
11 5000 3.47976e-05 1.16997e-07 1.58909e-05 1.14482e-07 1.02023e-06 1.02137e-06 -0.000295101 0.000220986 
12 5000 3.43858e-05 1.15122e-07 1.6784e-05 1.1297e-07 1.01845e-06 1.02198e-06 -0.000291474 0.000225258 
13 5000 3.51714e-05 1.16064e-07 1.70306e-05 1.12204e-07 1.01969e-06 1.02296e-06 -0.000294111 0.000225295 
14 5000 3.69566e-05 1.19491e-07 1.7208e-05 1.13513e-07 1.02387e-06 1.02458e-06 -0.000301869 0.000229147 
15 5000 3.74909e-05 1.17861e-07 1.69255e-05 1.10565e-07 1.02613e-06 1.02029e-06 -0.000299626 0.000221497 
16 5000 3.74652e-05 1.1972e-07 1.7581e-05 1.11169e-07 1.02507e-06 1.02697e-06 -0.000302777 0.00022623 
17 5000 4.05163e-05 1.24432e-07 1.78864e-05 1.1356e-07 1.02883e-06 1.02536e-06 -0.00031354 0.000234051 
18 5000 3.91884e-05 1.23532e-07 1.84021e-05 1.12289e-07 1.03553e-06 1.03066e-06 -0.00031011 0.000233589 
19 5000 4.09355e-05 1.27702e-07 1.87979e-05 1.11948e-07 1.02691e-06 1.0386e-06 -0.000319282 0.000233591 
20 5000 4.18405e-05 1.25743e-07 1.88703e-05 1.11653e-07 1.04265e-06 1.02785e-06 -0.000315848 0.000235939 
21 5000 4.47412e-05 1.32418e-07 1.93567e-05 1.10359e-07 1.05002e-06 1.03302e-06 -0.000328292 0.000235008 
22 5000 4.56647e-05 1.36137e-07 2.01427e-05 1.09609e-07 1.0494e-06 1.04197e-06 -0.000334696 0.000236026 
23 5000 4.7958e-05 1.3732e-07 2.0394e-05 1.07575e-07 1.05849e-06 1.03497e-06 -0.000337577 0.00023463 
24 5000 4.73302e-05 1.34872e-07 2.09581e-05 1.12745e-07 1.06399e-06 1.04721e-06 -0.000333096 0.000245804 
25 5000 4.89791e-05 1.38014e-07 2.14312e-05 1.09736e-07 1.07488e-06 1.04236e-06 -0.000338267 0.000242977 
26 5000 5.06109e-05 1.43419e-07 2.1548e-05 1.07795e-07 1.08697e-06 1.04733e-06 -0.000346517 0.000238516 
27 5000 5.19201e-05 1.45655e-07 2.19301e-05 1.13544e-07 1.08262e-06 1.05494e-06 -0.000350828 0.000250591 
28 5000 5.58451e-05 1.53571e-07 2.23802e-05 1.1449e-07 1.11358e-06 1.05678e-06 -0.000362444 0.000254144 
29 5000 5.56989e-05 1.5803e-07 2.31443e-05 1.13452e-07 1.11991e-06 1.06443e-06 -0.000368121 0.000253964 
30 5000 5.79633e-05 1.57978e-07 2.29812e-05 1.12513e-07 1.1245e-06 1.07049e-06 -0.000369002 0.000250297 
31 5000 5.93521e-05 1.57416e-07 2.38641e-05 1.16958e-07 1.12877e-06 1.08145e-06 -0.000368713 0.000260672 
32 5000 5.98776e-05 1.63978e-07 2.40937e-05 1.14206e-07 1.14862e-06 1.07651e-06 -0.000376755 0.000257114 
33 5000 6.08932e-05 1.65078e-07 2.43697e-05 1.18448e-07 1.13276e-06 1.0989e-06 -0.000379481 0.000262479 
34 5000 6.1561e-05 1.67342e-07 2.41873e-05 1.17086e-07 1.16588e-06 1.06692e-06 -0.000381132 0.00026462 
35 5000 5.93683e-05 1.63329e-07 2.4083e-05 1.15694e-07 1.15158e-06 1.078e-06 -0.000375488 0.000259693 
36 5000 6.02554e-05 1.641e-07 2.4611e-05 1.12991e-07 1.15215e-06 1.08358e-06 -0.000376921 0.000255505 
37 5000 5.91787e-05 1.64682e-07 2.44181e-05 1.14841e-07 1.13814e-06 1.09006e-06 -0.00037788 0.000257252 
38 5000 5.96287e-05 1.66113e-07 2.46679e-05 1.16742e-07 1.14284e-06 1.09198e-06 -0.000379749 0.000261541 
39 5000 5.95076e-05 1.65752e-07 2.43809e-05 1.14126e-07 1.1522e-06 1.08169e-06 -0.000378739 0.000257168 
40 5000 6.00366e-05 1.65446e-07 2.40827e-05 1.12768e-07 1.14558e-06 1.09037e-06 -0.000378928 0.000251795 
41 5000 6.15833e-05 1.6608e-07 2.38875e-05 1.13171e-07 1.16271e-06 1.06468e-06 -0.000379641 0.000256355 
42 5000 5.99129e-05 1.66534e-07 2.30145e-05 1.13374e-07 1.17617e-06 1.06284e-06 -0.00037874 0.000253555 
43 5000 6.06622e-05 1.65401e-07 2.43298e-05 1.19616e-07 1.13796e-06 1.10237e-06 -0.000379544 0.000263947 
44 5000 6.00293e-05 1.67067e-07 2.40166e-05 1.1629e-07 1.15527e-06 1.09142e-06 -0.000380571 0.000258247 
45 5000 5.9302e-05 1.60601e-07 2.39993e-05 1.15514e-07 1.14765e-06 1.08643e-06 -0.00037201 0.000257551 
46 5000 6.11971e-05 1.64801e-07 2.42576e-05 1.16233e-07 1.15938e-06 1.08074e-06 -0.000377937 0.000260928 
