#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.63196e-05 1.04996e-07 1.3743e-05 9.22535e-08 1.01621e-06 1.01773e-06 -0.000256438 0.000129945 
2 4841 2.60756e-05 1.03185e-07 2.52825e-05 9.78944e-08 1.03193e-06 1.19624e-06 -0.000249693 0.00020321 
3 4786 2.67783e-05 1.00416e-07 2.32096e-05 3.47813e-07 1.03538e-06 1.98526e-06 -0.00024573 0.000421902 
4 4765 2.74518e-05 1.01069e-07 1.52288e-05 1.19262e-07 1.03697e-06 1.24253e-06 -0.000248794 0.000133724 
5 4763 2.78242e-05 1.02926e-07 2.40369e-05 1.06423e-07 1.03789e-06 1.26459e-06 -0.0002534 0.000199731 
6 4547 2.8491e-05 1.03003e-07 2.30354e-05 1.60597e-07 1.05961e-06 1.56985e-06 -0.00025218 0.000231545 
7 4171 3.05898e-05 1.12028e-07 3.12223e-05 1.6058e-07 1.10566e-06 1.86954e-06 -0.000268449 0.000220535 
8 4167 3.08774e-05 1.14366e-07 2.98669e-05 1.93852e-07 1.10709e-06 1.83366e-06 -0.000273262 0.000285089 
9 4091 3.25288e-05 1.23052e-07 3.04061e-05 1.82092e-07 1.11371e-06 1.8971e-06 -0.000291411 0.000252443 
10 4091 3.45747e-05 1.18861e-07 3.07755e-05 1.77077e-07 1.11536e-06 1.89015e-06 -0.000287889 0.000246959 
11 3706 3.87804e-05 1.28587e-07 3.8633e-05 2.29372e-07 1.17057e-06 2.26679e-06 -0.000305375 0.000310433 
12 3558 3.30507e-05 1.09439e-07 3.73391e-05 2.51001e-07 1.18412e-06 2.45421e-06 -0.000258873 0.000299487 
13 3488 3.73041e-05 1.27274e-07 4.18541e-05 1.42306e-06 1.24555e-06 6.95652e-06 -0.000292721 0.000516554 
14 3358 3.4026e-05 1.23537e-07 4.55227e-05 2.58097e-07 1.2305e-06 2.7728e-06 -0.000281137 0.000298673 
15 3352 3.88291e-05 1.34413e-07 4.43289e-05 2.64701e-07 1.23901e-06 2.70334e-06 -0.00030802 0.000315977 
16 3313 3.56411e-05 1.26968e-07 4.27157e-05 2.80842e-07 1.2498e-06 2.82249e-06 -0.000288344 0.000307152 
17 3309 4.08525e-05 1.32038e-07 4.67434e-05 2.54179e-07 1.25926e-06 2.77481e-06 -0.000305322 0.000299098 
18 3210 3.55895e-05 1.28438e-07 4.70643e-05 2.89445e-07 1.27617e-06 2.96771e-06 -0.000287537 0.000319861 
19 3113 4.12498e-05 1.45534e-07 4.95284e-05 2.96869e-07 1.31018e-06 3.12093e-06 -0.000322366 0.00031656 
20 3107 4.18948e-05 1.36433e-07 4.94576e-05 2.88686e-07 1.31148e-06 3.02966e-06 -0.000308834 0.000321086 
21 3107 3.91812e-05 1.33959e-07 4.98467e-05 2.87833e-07 1.31529e-06 3.02347e-06 -0.000299675 0.000323176 
22 3107 4.20583e-05 1.35652e-07 4.95946e-05 2.98827e-07 1.31986e-06 3.02349e-06 -0.000306973 0.000338384 
23 3107 4.32021e-05 1.46463e-07 4.92798e-05 2.78752e-07 1.31714e-06 3.02028e-06 -0.000326047 0.000306013 
24 3107 4.04621e-05 1.37218e-07 5.06137e-05 2.89482e-07 1.32194e-06 3.01553e-06 -0.000306641 0.00033139 
