#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 2.79745e-05 1.06041e-07 1.36082e-05 1.1839e-07 1.01621e-06 1.01773e-06 -0.000262919 0.000205612 
1 5000 2.86887e-05 1.06198e-07 1.36132e-05 1.16247e-07 1.01621e-06 1.01773e-06 -0.000264956 0.000200401 
2 5000 2.89763e-05 1.05836e-07 1.46073e-05 1.12117e-07 1.01661e-06 1.01812e-06 -0.000264895 0.000202867 
3 5000 2.91246e-05 1.09261e-07 1.47389e-05 1.15814e-07 1.01642e-06 1.01837e-06 -0.000271642 0.000213191 
4 5000 3.19064e-05 1.16658e-07 1.50899e-05 1.14759e-07 1.02085e-06 1.01982e-06 -0.000289821 0.000214096 
5 5000 3.40094e-05 1.17825e-07 1.56166e-05 1.14547e-07 1.02241e-06 1.01871e-06 -0.000295108 0.000219305 
6 5000 3.49112e-05 1.12769e-07 1.61104e-05 1.12879e-07 1.0206e-06 1.02329e-06 -0.00028798 0.000218822 
7 5000 3.60205e-05 1.20343e-07 1.67611e-05 1.1324e-07 1.02525e-06 1.0224e-06 -0.00030193 0.000225556 
8 5000 3.74471e-05 1.2127e-07 1.76081e-05 1.10463e-07 1.02787e-06 1.02707e-06 -0.000305051 0.000224844 
9 5000 3.82175e-05 1.20794e-07 1.84284e-05 1.07937e-07 1.02927e-06 1.03405e-06 -0.000305079 0.000223417 
10 5000 4.30318e-05 1.30542e-07 1.88031e-05 1.10939e-07 1.03926e-06 1.03432e-06 -0.000324719 0.000232471 
11 5000 4.44363e-05 1.32058e-07 1.99939e-05 1.07951e-07 1.05293e-06 1.03639e-06 -0.000327275 0.000232872 
12 5000 4.54058e-05 1.33627e-07 2.08055e-05 1.12205e-07 1.05276e-06 1.04882e-06 -0.000330483 0.000243584 
13 5000 5.01568e-05 1.4646e-07 2.10355e-05 1.09985e-07 1.10217e-06 1.02995e-06 -0.000349629 0.000244041 
14 5000 5.41014e-05 1.5534e-07 2.21585e-05 1.12909e-07 1.09885e-06 1.0564e-06 -0.000364722 0.000250091 
15 5000 5.77795e-05 1.65662e-07 2.35783e-05 1.12748e-07 1.12591e-06 1.05595e-06 -0.000379107 0.000255846 
16 5000 6.29183e-05 1.73383e-07 2.36789e-05 1.14356e-07 1.14907e-06 1.06495e-06 -0.000390382 0.000257799 
17 5000 6.5096e-05 1.77721e-07 2.52669e-05 1.15448e-07 1.1696e-06 1.07246e-06 -0.000395862 0.000264438 
18 5000 6.79871e-05 1.80019e-07 2.58793e-05 1.1481e-07 1.17843e-06 1.08046e-06 -0.000399491 0.000264009 
19 5000 7.2957e-05 1.9146e-07 2.73029e-05 1.19568e-07 1.21584e-06 1.08767e-06 -0.000413761 0.000276112 
20 5000 7.81417e-05 2.07093e-07 2.73229e-05 1.18137e-07 1.24357e-06 1.09542e-06 -0.000432785 0.000272433 
21 5000 8.30646e-05 2.18035e-07 2.85405e-05 1.21755e-07 1.27788e-06 1.08964e-06 -0.000445395 0.000283115 
22 5000 8.63196e-05 2.2387e-07 3.03238e-05 1.27977e-07 1.27495e-06 1.13684e-06 -0.000452813 0.000292159 
23 5000 9.16672e-05 2.35238e-07 3.20531e-05 1.31717e-07 1.34202e-06 1.13803e-06 -0.000464317 0.000302179 
24 4986 9.85009e-05 2.43648e-07 3.32154e-05 1.35315e-07 1.40754e-06 1.19843e-06 -0.000472794 0.000303439 
25 4969 0.000104805 2.57357e-07 3.44159e-05 1.41613e-07 1.43912e-06 1.22998e-06 -0.000487438 0.000312497 
26 4948 0.000119745 3.00209e-07 3.91309e-05 1.42229e-07 1.48022e-06 1.27083e-06 -0.000530953 0.000317737 
27 4946 0.000115745 2.97234e-07 3.56628e-05 1.37935e-07 1.51734e-06 1.29382e-06 -0.000526633 0.000301656 
28 4946 0.000115546 2.90234e-07 3.68618e-05 1.47246e-07 1.52755e-06 1.31e-06 -0.000519653 0.000317318 
29 4916 0.000120547 3.02578e-07 3.79955e-05 1.53982e-07 1.53237e-06 1.39463e-06 -0.00053207 0.000320611 
30 4916 0.000129572 3.25857e-07 3.90472e-05 1.53314e-07 1.65281e-06 1.35702e-06 -0.000552063 0.000325812 
31 4900 0.000134956 3.35808e-07 3.95676e-05 1.62335e-07 1.68277e-06 1.43975e-06 -0.000561093 0.000331583 
32 4900 0.000133724 3.41536e-07 4.00195e-05 1.61356e-07 1.67685e-06 1.46776e-06 -0.000566135 0.000327908 
33 4900 0.00013204 3.3501e-07 4.00787e-05 1.57304e-07 1.6591e-06 1.42644e-06 -0.000560503 0.000326398 
34 4900 0.000130903 3.36237e-07 4.02535e-05 1.60033e-07 1.66598e-06 1.45791e-06 -0.000561279 0.00032746 
35 4900 0.000131661 3.35151e-07 3.9763e-05 1.59794e-07 1.66747e-06 1.46303e-06 -0.000560386 0.000325521 
36 4900 0.000129548 3.22227e-07 4.03461e-05 1.6383e-07 1.67841e-06 1.45103e-06 -0.000548162 0.000334132 
37 4900 0.000132262 3.36335e-07 4.09672e-05 1.61194e-07 1.65384e-06 1.46538e-06 -0.000561832 0.000329814 
38 4900 0.000130137 3.33769e-07 4.00141e-05 1.56444e-07 1.67119e-06 1.43744e-06 -0.000558845 0.000323738 
39 4900 0.000135278 3.4153e-07 3.99031e-05 1.61758e-07 1.71003e-06 1.4452e-06 -0.00056561 0.00033078 
40 4900 0.000132408 3.36631e-07 4.04223e-05 1.62995e-07 1.69143e-06 1.47158e-06 -0.00056127 0.00033079 
41 4900 0.000130322 3.29286e-07 3.97162e-05 1.62423e-07 1.66462e-06 1.45359e-06 -0.000554999 0.000330488 
42 4900 0.000130498 3.31451e-07 4.08165e-05 1.62624e-07 1.66251e-06 1.44677e-06 -0.00055702 0.00033368 
43 4900 0.000130377 3.31977e-07 4.0189e-05 1.62561e-07 1.68184e-06 1.47682e-06 -0.000557029 0.00032908 
44 4899 0.000129515 3.26458e-07 3.94214e-05 1.62418e-07 1.62666e-06 1.45868e-06 -0.000553197 0.000329308 
45 4899 0.000131478 3.36059e-07 4.09073e-05 1.65887e-07 1.664e-06 1.45384e-06 -0.000561248 0.000337961 
46 4899 0.000131816 3.41871e-07 4.06074e-05 1.58897e-07 1.63516e-06 1.4488e-06 -0.000567086 0.000327424 
