#turn count sigx2 sigxp2 sigz2 sigzp2 ex ez sigxp sigzp
0 5000 0.000122935 0.000165338 1.25443e-05 1.6589e-05 5.08103e-05 5.08865e-06 0.0120141 -0.00381114 
1 4976 0.000122206 0.000157664 1.24801e-05 1.65613e-05 4.96933e-05 5.08108e-06 0.0117242 -0.00380692 
2 4733 0.000119021 0.000142827 2.61334e-05 5.27165e-05 5.09162e-05 3.66159e-05 0.0110021 0.00118885 
3 4616 0.000129983 0.00015631 1.59413e-05 3.11351e-05 5.03489e-05 7.38031e-06 0.0116964 -0.00526481 
4 4605 0.000120152 0.00015351 3.61413e-05 3.26087e-05 5.00505e-05 7.2662e-06 0.0115179 -0.00558102 
5 4602 0.000117454 0.000142052 1.02439e-05 1.06092e-05 5.00836e-05 7.28258e-06 0.0109862 -0.00233064 
6 4599 0.000123978 0.000150034 2.67948e-05 3.92423e-05 4.95173e-05 8.50179e-06 0.011413 -0.00604522 
7 4589 0.00012031 0.00015071 2.49903e-05 2.00416e-05 4.98421e-05 8.35725e-06 0.0114044 -0.00415292 
8 4589 0.000118691 0.00014567 1.58328e-05 2.2947e-05 4.989e-05 8.52766e-06 0.0111669 -0.00428415 
9 4588 0.000120595 0.00014727 2.64365e-05 2.97453e-05 4.95684e-05 9.36877e-06 0.0112648 -0.00514054 
10 4588 0.000121658 0.000149249 2.04087e-05 2.26512e-05 4.98673e-05 9.09101e-06 0.0113494 -0.00431296 
11 4588 0.000120626 0.000149703 2.23895e-05 2.63443e-05 4.98724e-05 9.16345e-06 0.0113615 -0.00475331 
12 4588 0.000118389 0.000146031 2.14496e-05 2.42241e-05 4.9744e-05 9.2428e-06 0.0111861 -0.00449903 
13 4588 0.000122063 0.000147602 2.20676e-05 2.66322e-05 4.9941e-05 9.07989e-06 0.0112769 -0.004785 
14 4588 0.000122951 0.00015274 2.27046e-05 2.4497e-05 4.99409e-05 9.07605e-06 0.0115089 -0.00456824 
15 4588 0.000117264 0.000146337 2.0198e-05 2.38682e-05 4.98721e-05 9.10856e-06 0.011186 -0.00444529 
16 4588 0.000121352 0.000145573 2.27895e-05 2.71383e-05 4.99623e-05 9.16937e-06 0.0111805 -0.00484242 
17 4588 0.000124753 0.000154171 2.25051e-05 2.45623e-05 4.99483e-05 9.0876e-06 0.0115833 -0.00457086 
18 4588 0.000116922 0.000147426 2.07046e-05 2.40821e-05 4.98762e-05 9.13537e-06 0.0112316 -0.00447788 
19 4588 0.000119953 0.000143642 2.22955e-05 2.65764e-05 4.99122e-05 9.24807e-06 0.0110848 -0.00476869 
20 4588 0.000125591 0.000153973 2.2946e-05 2.56223e-05 4.98883e-05 9.21904e-06 0.0115826 -0.00468171 
21 4588 0.000117517 0.000149015 2.12935e-05 2.41687e-05 4.98427e-05 9.19807e-06 0.0113082 -0.00449394 
22 4588 0.000118586 0.000142687 2.17488e-05 2.61099e-05 4.98788e-05 9.20548e-06 0.0110321 -0.00471312 
23 4588 0.00012539 0.000152524 2.31456e-05 2.5963e-05 4.98301e-05 9.26115e-06 0.0115205 -0.00471777 
24 4588 0.000118895 0.000150576 2.13214e-05 2.42792e-05 4.9843e-05 9.21832e-06 0.0113878 -0.00450485 
25 4588 0.000117806 0.000143113 2.20347e-05 2.61148e-05 4.98925e-05 9.20837e-06 0.0110446 -0.00471874 
26 4588 0.000124388 0.000150507 2.25807e-05 2.54205e-05 4.98233e-05 9.28237e-06 0.0114259 -0.00464809 
27 4588 0.000120461 0.000151565 2.16448e-05 2.524e-05 4.98647e-05 9.17573e-06 0.0114422 -0.00462063 
28 4588 0.000117743 0.00014454 2.23338e-05 2.54024e-05 4.99148e-05 9.19448e-06 0.0111076 -0.00464943 
29 4588 0.000122926 0.000148535 2.15486e-05 2.49507e-05 4.98485e-05 9.2102e-06 0.0113279 -0.00458412 
30 4588 0.00012171 0.000151727 2.23729e-05 2.5941e-05 4.98867e-05 9.1617e-06 0.0114577 -0.00471056 
31 4588 0.000118392 0.000146539 2.18932e-05 2.47011e-05 4.99397e-05 9.15624e-06 0.0112015 -0.00456856 
32 4588 0.000121296 0.000147061 2.1644e-05 2.51573e-05 4.98892e-05 9.12283e-06 0.0112491 -0.00461651 
33 4588 0.000122424 0.000151011 2.19555e-05 2.51473e-05 4.99048e-05 9.13282e-06 0.011431 -0.00462043 
34 4588 0.000119641 0.000148744 2.17788e-05 2.52594e-05 4.99715e-05 9.10551e-06 0.011308 -0.00463168 
35 4588 0.000119833 0.000146315 2.21303e-05 2.48921e-05 4.99323e-05 9.11886e-06 0.0112031 -0.00459724 
36 4588 0.00012254 0.000149736 2.10923e-05 2.46181e-05 4.99146e-05 9.15113e-06 0.0113756 -0.00454398 
37 4587 0.000121013 0.000150527 2.23085e-05 2.60905e-05 4.99893e-05 9.08641e-06 0.0113964 -0.00473175 
38 4587 0.000118861 0.000146291 2.20653e-05 2.42495e-05 4.99481e-05 9.10154e-06 0.0111938 -0.00452717 
39 4587 0.000122128 0.000148337 2.07311e-05 2.47106e-05 4.99181e-05 9.13391e-06 0.0113108 -0.00454822 
40 4587 0.000122056 0.000151444 2.30203e-05 2.66745e-05 4.99692e-05 9.12373e-06 0.011445 -0.00480192 
41 4587 0.000118523 0.000146853 2.17431e-05 2.36777e-05 4.99384e-05 9.11529e-06 0.0112166 -0.00445604 
42 4587 0.000121392 0.000147151 2.08073e-05 2.51824e-05 4.99188e-05 9.16334e-06 0.0112527 -0.00459858 
43 4587 0.000122649 0.000151536 2.33394e-05 2.66999e-05 4.99391e-05 9.18311e-06 0.0114544 -0.00480486 
44 4586 0.0001188 0.000147779 2.12485e-05 2.34815e-05 4.99449e-05 9.04306e-06 0.0112597 -0.0044309 
45 4586 0.000120705 0.000146554 2.10688e-05 2.5244e-05 4.99484e-05 9.10821e-06 0.0112198 -0.00461589 
46 4586 0.000122914 0.000151156 2.27984e-05 2.60281e-05 4.9949e-05 9.15662e-06 0.0114393 -0.00472763 
47 4586 0.00011943 0.000148768 2.16024e-05 2.4208e-05 4.99648e-05 9.08955e-06 0.0113077 -0.0045148 
48 4586 0.000120147 0.000146429 2.12687e-05 2.50374e-05 4.99796e-05 9.1192e-06 0.0112088 -0.00459646 
49 4586 0.000122831 0.000150445 2.24191e-05 2.57584e-05 4.99699e-05 9.13797e-06 0.0114069 -0.00469402 
50 4586 0.000120204 0.000149591 2.17148e-05 2.44854e-05 4.99846e-05 9.17568e-06 0.0113493 -0.00453963 
51 4586 0.000119828 0.000146748 2.16842e-05 2.55622e-05 5.00049e-05 9.18673e-06 0.0112197 -0.00465512 
52 4586 0.000122377 0.00014955 2.24792e-05 2.54577e-05 4.99814e-05 9.17052e-06 0.0113638 -0.0046601 
53 4586 0.000120863 0.000150017 2.13728e-05 2.46478e-05 4.99802e-05 9.17378e-06 0.0113732 -0.00455084 
54 4586 0.000119771 0.000147271 2.23413e-05 2.59593e-05 5.00193e-05 9.19548e-06 0.0112419 -0.00470899 
55 4586 0.000121914 0.000148882 2.19046e-05 2.46945e-05 4.99957e-05 9.23161e-06 0.0113305 -0.00456113 
56 4586 0.000121321 0.000150195 2.17736e-05 2.57388e-05 4.99813e-05 9.20422e-06 0.0113844 -0.00467418 
57 4586 0.000119866 0.000147743 2.26791e-05 2.55348e-05 5.00377e-05 9.20167e-06 0.011263 -0.00466919 
